panel zone shear distortion (rad),panel zone shear force (kN)
0,0
0.002352941,384.0066303
0.002666667,418.7583616
0.002901961,441.3469869
0.003137255,462.1980256
0.00345098,479.5738913
0.003607843,495.2121703
0.004,512.5880359
0.004470588,524.7511419
0.005019608,538.6518344
0.005568627,552.5525269
0.006117647,564.7156328
0.006823529,578.6163253
0.00745098,587.3042581
0.008235294,594.2546044
0.009411765,604.6801238
0.010588235,615.1056431
0.011843137,627.2687491
0.013176471,635.9566819
0.014352941,642.9070281
0.016470588,655.0701341
0.017411765,662.0204803
0.018745098,667.23324
